amount,date_written,date_cleared,days_to_clear,check_type,payee_name,bank_name,bank_routing,check_number,micr_line,is_returned,return_reason,is_fraud,fraud_type
3215.16,2024-12-09T20:00:00.000000,2024-01-20T03:00:00.000000,1,personal,John Smith,First National Bank,021000021,8433,|021000021|  753903309  5382,false,,false,
173.8,2024-07-10T14:00:00.000000,2024-11-01T13:00:00.000000,4,cashier,Acme Supplies,City Bank,021000021,7079,|021000021|  131088245  3956,false,,false,
1411.4,2024-09-21T14:00:00.000000,2024-06-25T23:00:00.000000,3,personal,Landlord LLC,Trust Bank,021000021,9851,|021000021|  393421844  6063,false,,false,
1154.89,2024-03-02T07:00:00.000000,2024-06-09T13:00:00.000000,4,business,Landlord LLC,City Bank,021000021,7867,|021000021|  464883950  6752,false,,false,
3695.53,2024-04-25T02:00:00.000000,2024-11-06T16:00:00.000000,2,cashier,Landlord LLC,City Bank,021000021,3532,|021000021|  106556040  3973,false,,false,
3399.66,2024-06-22T00:00:00.000000,2024-02-29T12:00:00.000000,4,personal,Acme Supplies,City Bank,021000021,7798,|021000021|  253815116  7567,false,,false,
4466.29,2024-10-28T17:00:00.000000,2024-10-22T06:00:00.000000,2,personal,Landlord LLC,Trust Bank,021000021,2623,|021000021|  174716780  3325,false,,false,
480.35,2024-04-27T18:00:00.000000,2024-05-10T01:00:00.000000,5,personal,John Smith,First National Bank,021000021,9018,|021000021|  895609471  1503,false,,false,
2138.51,2024-04-22T00:00:00.000000,2024-12-28T13:00:00.000000,3,personal,Landlord LLC,City Bank,021000021,7687,|021000021|  198524063  9692,false,,false,
197.5,2024-02-06T22:00:00.000000,2024-01-01T16:00:00.000000,5,cashier,Acme Supplies,City Bank,021000021,5584,|021000021|  330997172  7164,false,,false,
1132.26,2024-11-19T01:00:00.000000,2024-10-02T21:00:00.000000,5,personal,John Smith,Trust Bank,021000021,1537,|021000021|  550791704  8433,false,,false,
2551.51,2024-04-27T02:00:00.000000,2024-12-09T06:00:00.000000,4,personal,Acme Supplies,Trust Bank,021000021,7071,|021000021|  466034277  3579,false,,false,
181.35,2024-01-17T10:00:00.000000,2024-07-05T13:00:00.000000,4,personal,John Smith,First National Bank,021000021,4560,|021000021|  497341481  6106,false,,false,
1034.25,2024-02-06T16:00:00.000000,2024-02-05T21:00:00.000000,4,business,John Smith,First National Bank,021000021,8265,|021000021|  874807770  6315,false,,false,
3266.93,2024-05-01T08:00:00.000000,2024-06-18T19:00:00.000000,5,business,Acme Supplies,City Bank,021000021,8286,|021000021|  934120892  2392,false,,false,
2747.46,2024-12-08T15:00:00.000000,2024-06-09T21:00:00.000000,3,cashier,Acme Supplies,City Bank,021000021,4869,|021000021|  156488296  3550,false,,false,
1141.18,2024-04-19T17:00:00.000000,2024-03-04T23:00:00.000000,3,cashier,Acme Supplies,Trust Bank,021000021,6943,|021000021|  269017588  1816,false,,false,
2966.87,2024-03-08T23:00:00.000000,2024-06-02T16:00:00.000000,2,business,Acme Supplies,City Bank,021000021,2628,|021000021|  823668399  2337,false,,false,
4056.68,2024-10-19T18:00:00.000000,2024-06-07T21:00:00.000000,1,business,Landlord LLC,Trust Bank,021000021,7019,|021000021|  392168202  8260,false,,false,
82.17,2024-08-30T07:00:00.000000,2024-07-28T10:00:00.000000,3,personal,Acme Supplies,City Bank,021000021,9921,|021000021|  810751262  7948,false,,false,
4038.81,2024-08-30T13:00:00.000000,2024-07-25T22:00:00.000000,4,personal,John Smith,Trust Bank,021000021,6877,|021000021|  621475287  8243,false,,false,
3505.79,2024-04-07T03:00:00.000000,2024-05-31T17:00:00.000000,2,business,Landlord LLC,City Bank,021000021,1993,|021000021|  544726404  5476,false,,false,
1734.24,2024-02-19T21:00:00.000000,2024-03-06T06:00:00.000000,4,cashier,Acme Supplies,City Bank,021000021,7524,|021000021|  331465414  9395,false,,false,
819.62,2024-08-08T11:00:00.000000,2024-08-03T21:00:00.000000,5,business,Landlord LLC,City Bank,021000021,5521,|021000021|  222210617  6656,false,,false,
4788.2,2024-08-04T13:00:00.000000,2024-07-13T21:00:00.000000,5,cashier,John Smith,First National Bank,021000021,4110,|021000021|  561616250  2817,false,,false,
1716.14,2024-08-27T23:00:00.000000,2024-03-30T19:00:00.000000,4,business,John Smith,City Bank,021000021,3002,|021000021|  404133583  8973,false,,false,
509.09,2024-01-28T21:00:00.000000,2024-10-18T09:00:00.000000,3,personal,John Smith,City Bank,021000021,8451,|021000021|  665791188  6054,false,,false,
528.75,2024-11-30T20:00:00.000000,2024-07-26T17:00:00.000000,1,cashier,Landlord LLC,First National Bank,021000021,2502,|021000021|  148766522  4613,false,,false,
4245.1,2024-02-20T01:00:00.000000,2024-01-01T09:00:00.000000,4,personal,Landlord LLC,First National Bank,021000021,4476,|021000021|  524410834  1898,false,,false,
3038.44,2024-07-25T23:00:00.000000,2024-05-26T06:00:00.000000,3,business,Acme Supplies,City Bank,021000021,1350,|021000021|  108253947  4350,false,,false,
4045.28,2024-06-22T03:00:00.000000,2024-08-08T18:00:00.000000,2,cashier,Acme Supplies,Trust Bank,021000021,1829,|021000021|  423646570  4461,false,,false,
3662.17,2024-05-07T06:00:00.000000,2024-11-06T20:00:00.000000,4,cashier,Acme Supplies,City Bank,021000021,6465,|021000021|  923935280  3249,false,,false,
2704.33,2024-04-07T17:00:00.000000,2024-06-13T14:00:00.000000,2,cashier,John Smith,Trust Bank,021000021,4991,|021000021|  920511515  5187,false,,false,
4866.92,2024-08-17T04:00:00.000000,2024-08-14T14:00:00.000000,3,personal,Acme Supplies,City Bank,021000021,3064,|021000021|  410791488  6376,false,,false,
1923.75,2024-08-04T05:00:00.000000,2024-12-11T06:00:00.000000,3,business,Landlord LLC,Trust Bank,021000021,4363,|021000021|  228832213  1127,false,,false,
2782.6,2024-05-22T14:00:00.000000,2024-09-18T15:00:00.000000,3,personal,Acme Supplies,City Bank,021000021,2125,|021000021|  634063428  8056,false,,false,
4155.55,2024-05-07T02:00:00.000000,2024-03-27T21:00:00.000000,3,cashier,John Smith,First National Bank,021000021,4395,|021000021|  288650860  3117,false,,false,
3111.67,2024-08-14T17:00:00.000000,2024-02-13T09:00:00.000000,5,personal,Acme Supplies,Trust Bank,021000021,4539,|021000021|  508244633  9726,false,,false,
4315.45,2024-02-20T01:00:00.000000,2024-09-20T21:00:00.000000,3,cashier,John Smith,City Bank,021000021,4818,|021000021|  855561271  4771,false,,false,
2907.89,2024-11-29T17:00:00.000000,2024-11-20T19:00:00.000000,5,personal,John Smith,City Bank,021000021,6384,|021000021|  637152602  6803,false,,false,
3537.63,2024-01-08T02:00:00.000000,2024-06-20T02:00:00.000000,1,business,John Smith,First National Bank,021000021,3418,|021000021|  177390472  7506,false,,false,
276.83,2024-05-01T05:00:00.000000,2024-04-30T21:00:00.000000,5,personal,Acme Supplies,Trust Bank,021000021,1047,|021000021|  896760809  1694,false,,false,
1178.1,2024-07-27T15:00:00.000000,2024-06-07T07:00:00.000000,2,personal,Landlord LLC,Trust Bank,021000021,5543,|021000021|  568387228  1308,false,,false,
1482.47,2024-09-03T06:00:00.000000,2024-04-11T04:00:00.000000,1,personal,Acme Supplies,Trust Bank,021000021,3371,|021000021|  593657365  2276,false,,false,
444.97,2024-07-24T01:00:00.000000,2024-01-13T01:00:00.000000,2,personal,John Smith,First National Bank,021000021,3130,|021000021|  436146289  8034,false,,false,
1202.31,2024-03-25T12:00:00.000000,2024-05-05T15:00:00.000000,4,business,Acme Supplies,Trust Bank,021000021,9851,|021000021|  715683222  7627,false,,false,
549.96,2024-01-02T12:00:00.000000,2024-11-08T02:00:00.000000,4,cashier,Acme Supplies,Trust Bank,021000021,5107,|021000021|  861818706  7844,false,,false,
1425.97,2024-05-15T14:00:00.000000,2024-08-21T13:00:00.000000,5,cashier,Acme Supplies,City Bank,021000021,3859,|021000021|  410864588  2888,false,,false,
3196.64,2024-05-26T13:00:00.000000,2024-11-18T18:00:00.000000,2,cashier,John Smith,City Bank,021000021,2802,|021000021|  534900128  1342,false,,false,
1855.92,2024-12-22T23:00:00.000000,2024-04-09T22:00:00.000000,4,business,John Smith,First National Bank,021000021,1423,|021000021|  448717183  3816,false,,false,
1882.4,2024-10-11T21:00:00.000000,2024-12-22T12:00:00.000000,4,business,Acme Supplies,Trust Bank,021000021,3160,|021000021|  960413104  8539,false,,false,
1087.06,2024-09-06T04:00:00.000000,2024-09-10T12:00:00.000000,4,personal,Acme Supplies,City Bank,021000021,1244,|021000021|  993381017  6929,false,,false,
1371.54,2024-04-07T09:00:00.000000,2024-05-04T04:00:00.000000,1,business,Acme Supplies,First National Bank,021000021,6870,|021000021|  194628740  8156,false,,false,
4686.44,2024-04-21T01:00:00.000000,2024-12-01T22:00:00.000000,1,cashier,Landlord LLC,Trust Bank,021000021,4899,|021000021|  213669678  4987,false,,false,
3257.78,2024-10-23T23:00:00.000000,2024-01-03T03:00:00.000000,3,business,John Smith,First National Bank,021000021,6305,|021000021|  567804106  7561,false,,false,
3065.2,2024-10-04T01:00:00.000000,2024-08-05T07:00:00.000000,2,cashier,Landlord LLC,Trust Bank,021000021,1259,|021000021|  662600500  2289,false,,false,
897.14,2024-06-09T01:00:00.000000,2024-03-31T22:00:00.000000,4,business,John Smith,City Bank,021000021,3855,|021000021|  524951250  6084,false,,false,
3659.18,2024-01-26T18:00:00.000000,2024-09-22T14:00:00.000000,2,business,Acme Supplies,Trust Bank,021000021,5348,|021000021|  900801837  6563,true,,false,
858.84,2024-09-01T16:00:00.000000,2024-01-26T17:00:00.000000,3,cashier,Landlord LLC,Trust Bank,021000021,1859,|021000021|  337911187  6457,false,,false,
1928.3,2024-09-28T05:00:00.000000,2024-05-07T03:00:00.000000,5,cashier,Acme Supplies,Trust Bank,021000021,3077,|021000021|  936571442  3755,false,,false,
4948.14,2024-01-30T16:00:00.000000,2024-08-21T04:00:00.000000,3,business,Landlord LLC,Trust Bank,021000021,7898,|021000021|  182011731  9364,false,,false,
3218.0,2024-02-11T05:00:00.000000,2024-08-25T21:00:00.000000,4,business,Acme Supplies,First National Bank,021000021,9620,|021000021|  779919809  2869,false,,false,
2806.9,2024-02-05T19:00:00.000000,2024-09-28T17:00:00.000000,5,personal,John Smith,Trust Bank,021000021,2863,|021000021|  669732591  9356,false,,false,
3438.84,2024-02-04T21:00:00.000000,2024-10-31T10:00:00.000000,5,cashier,Acme Supplies,First National Bank,021000021,2042,|021000021|  308202515  6725,false,,false,
4222.12,2024-04-30T12:00:00.000000,2024-08-14T19:00:00.000000,3,personal,John Smith,Trust Bank,021000021,8803,|021000021|  476990466  3420,false,,false,
3891.2,2024-03-02T18:00:00.000000,2024-09-15T13:00:00.000000,4,business,Acme Supplies,Trust Bank,021000021,8345,|021000021|  353691745  2685,false,,false,
1183.79,2024-05-06T18:00:00.000000,2024-10-07T14:00:00.000000,5,cashier,Acme Supplies,First National Bank,021000021,6932,|021000021|  257243284  5194,false,,false,
208.9,2024-10-31T01:00:00.000000,2024-03-22T23:00:00.000000,3,business,John Smith,City Bank,021000021,9409,|021000021|  311818984  3843,false,,false,
1611.49,2024-11-13T02:00:00.000000,2024-08-31T14:00:00.000000,3,cashier,John Smith,City Bank,021000021,2787,|021000021|  746820987  3505,false,,false,
1375.32,2024-08-02T21:00:00.000000,2024-05-12T07:00:00.000000,4,business,Landlord LLC,First National Bank,021000021,8406,|021000021|  916274954  2235,false,,false,
1094.37,2024-10-25T18:00:00.000000,2024-11-22T08:00:00.000000,3,personal,Acme Supplies,Trust Bank,021000021,9255,|021000021|  290209201  9096,false,,false,
4717.4,2024-09-24T10:00:00.000000,2024-09-23T15:00:00.000000,3,personal,Landlord LLC,City Bank,021000021,4630,|021000021|  598165815  8355,false,,false,
4388.02,2024-05-13T06:00:00.000000,2024-11-16T07:00:00.000000,3,personal,Landlord LLC,Trust Bank,021000021,1711,|021000021|  831361497  6296,false,,false,
1607.66,2024-12-08T22:00:00.000000,2024-05-20T14:00:00.000000,2,cashier,John Smith,First National Bank,021000021,9544,|021000021|  773469560  6180,false,,false,
3294.42,2024-06-09T07:00:00.000000,2024-02-09T22:00:00.000000,1,cashier,John Smith,First National Bank,021000021,5942,|021000021|  262089272  8206,false,,false,
2008.38,2024-05-15T12:00:00.000000,2024-05-26T07:00:00.000000,2,cashier,Acme Supplies,City Bank,021000021,8505,|021000021|  173321814  8683,false,,false,
4577.01,2024-03-08T21:00:00.000000,2024-05-19T10:00:00.000000,3,personal,Landlord LLC,City Bank,021000021,1511,|021000021|  574817290  5962,false,,false,
2321.32,2024-11-26T09:00:00.000000,2024-06-12T17:00:00.000000,1,cashier,Acme Supplies,Trust Bank,021000021,1997,|021000021|  955052486  5501,false,,false,
1361.16,2024-08-22T10:00:00.000000,2024-02-11T04:00:00.000000,5,business,Landlord LLC,City Bank,021000021,8848,|021000021|  735032128  1921,false,,false,
1270.81,2024-02-07T00:00:00.000000,2024-03-18T07:00:00.000000,2,cashier,John Smith,First National Bank,021000021,7581,|021000021|  477895080  9313,false,,false,
2828.77,2024-08-22T19:00:00.000000,2024-07-15T22:00:00.000000,2,personal,Acme Supplies,First National Bank,021000021,7985,|021000021|  179661615  6086,false,,false,
1350.57,2024-10-15T03:00:00.000000,2024-03-19T22:00:00.000000,2,personal,Landlord LLC,First National Bank,021000021,2769,|021000021|  595792218  8405,false,,false,
