amount,date_written,date_cleared,days_to_clear,check_type,payee_name,bank_name,bank_routing,check_number,micr_line,is_returned,return_reason,is_fraud,fraud_type
1652.97,2024-12-20T05:00:00.000000,2024-02-26T05:00:00.000000,3,business,John Smith,First National Bank,021000021,8624,|021000021|  162684164  2719,false,,false,
796.7,2024-09-21T00:00:00.000000,2024-05-14T01:00:00.000000,1,cashier,John Smith,City Bank,021000021,4855,|021000021|  113260810  4232,false,,false,
3272.13,2024-04-15T16:00:00.000000,2024-04-02T06:00:00.000000,3,personal,John Smith,City Bank,021000021,8321,|021000021|  252757536  7770,false,,false,
408.56,2024-07-04T04:00:00.000000,2024-06-08T20:00:00.000000,1,business,Acme Supplies,Trust Bank,021000021,8509,|021000021|  314231104  9492,false,,false,
2702.62,2024-12-19T17:00:00.000000,2024-06-05T16:00:00.000000,1,cashier,Acme Supplies,City Bank,021000021,3943,|021000021|  752924112  9306,false,,false,
1860.16,2024-01-14T16:00:00.000000,2024-04-15T09:00:00.000000,3,personal,Acme Supplies,First National Bank,021000021,8754,|021000021|  795351665  7804,false,,false,
337.09,2024-06-01T20:00:00.000000,2024-08-16T16:00:00.000000,2,cashier,Landlord LLC,Trust Bank,021000021,7560,|021000021|  973360984  3862,false,,false,
2561.81,2024-02-16T22:00:00.000000,2024-12-10T05:00:00.000000,2,personal,John Smith,City Bank,021000021,2755,|021000021|  646079341  6069,false,,false,
235.6,2024-05-13T16:00:00.000000,2024-05-18T11:00:00.000000,3,personal,John Smith,First National Bank,021000021,2100,|021000021|  168469496  5920,false,,false,
2196.55,2024-07-06T05:00:00.000000,2024-01-10T08:00:00.000000,4,business,John Smith,First National Bank,021000021,3105,|021000021|  772123530  1795,false,,false,
395.78,2024-07-01T07:00:00.000000,2024-01-19T00:00:00.000000,5,cashier,Landlord LLC,First National Bank,021000021,6875,|021000021|  877717724  8831,false,,false,
499.03,2024-09-29T17:00:00.000000,2024-01-10T23:00:00.000000,3,cashier,Landlord LLC,City Bank,021000021,8055,|021000021|  868153415  9822,false,,false,
2151.37,2024-09-14T10:00:00.000000,2024-09-15T17:00:00.000000,2,business,Landlord LLC,Trust Bank,021000021,6986,|021000021|  106817616  7147,false,,false,
4142.92,2024-11-21T07:00:00.000000,2024-04-07T16:00:00.000000,3,personal,Landlord LLC,City Bank,021000021,2503,|021000021|  568846644  8623,false,,false,
662.82,2024-11-09T06:00:00.000000,2024-08-31T07:00:00.000000,4,personal,Acme Supplies,First National Bank,021000021,8242,|021000021|  186413189  8414,false,,false,
1155.03,2024-05-02T12:00:00.000000,2024-08-16T03:00:00.000000,1,personal,John Smith,City Bank,021000021,9264,|021000021|  288325439  4702,false,,false,
3155.79,2024-04-26T06:00:00.000000,2024-12-03T20:00:00.000000,4,business,Acme Supplies,First National Bank,021000021,9359,|021000021|  213045353  5284,false,,false,
4741.16,2024-09-22T15:00:00.000000,2024-08-09T21:00:00.000000,5,cashier,Acme Supplies,City Bank,021000021,1668,|021000021|  349426669  1636,false,,false,
2906.66,2024-07-01T23:00:00.000000,2024-09-10T17:00:00.000000,5,cashier,Acme Supplies,Trust Bank,021000021,1667,|021000021|  232356424  6498,false,,false,
2013.57,2024-01-15T00:00:00.000000,2024-07-20T16:00:00.000000,2,business,Acme Supplies,Trust Bank,021000021,3135,|021000021|  904934916  5314,false,,false,
4882.46,2024-05-23T15:00:00.000000,2024-06-06T22:00:00.000000,1,personal,Acme Supplies,First National Bank,021000021,2348,|021000021|  864165121  1861,false,,false,
280.58,2024-05-12T06:00:00.000000,2024-04-20T07:00:00.000000,1,business,Landlord LLC,Trust Bank,021000021,6141,|021000021|  385602124  8145,false,,false,
